PREGUNTA	RESPUESTA
EN LA SERIE ANIMADA LOS PICAPIEDRA¿CÓMO SE LLAMA LA ESPOSA DE PABLO?	BETTY
¿EN QUÉ FECHA SE CELEBRA HALLOWEEN?	31 DE OCTUBRE
¿COMO SE LLAMA EL ESPANTAPÁJAROS CON CORAZÓN DE ORO CREADO POR MANUEL GARCÍA FERRÉ?	TRAPITO
EN LA SERIE ANIMADA LOS SIMPSONS, ¿CÓMO SE LLAMA EL JEFE DE LA POLICÍA?	GÓRGORY
¿DE QUÉ PAÍS ES PATRONA LA VIRGEN DE GUADALUPE?	MÉXICO
¿CON QUÉ NOMBRE SE CONOCE AL SINDICATO ARGENTINO QUE NUCLEA A LOS MAQUINISTAS DE LOCOMOTORAS Y TRENES?	LA FRATERNIDAD
DURANTE LA SEGUNDA GUERRA MUNDIAL, ¿EN QUÉ AÑO LOS ALEMANES TOMARON EL CONTROL DE PARÍS?	1940
¿EN QUÉ CONTINENTE SE ENCUENTRA EL GOLFO PÉRSICO?	ASIA
¿DE QUÉ FAMOSO PINTOR ES LA CARETA QUE USAN LOS LADRONES AL COMIENZO DE LA SERIE LA CASA DE PAPEL?	SALVADOR DALÍ
¿CUÁL ERA LA PROFESIÓN DEL PERSONAJE DE DADY BRIEVA EN LA RECORDADA FICCIÓN TELEVISIVA GASOLEROS?	COLECTIVERO
¿QUÉ RÍO SEPARA A RESISTENCIA DE CORRIENTES CAPITAL?	PARANÁ
¿EN QUÉ AÑO FUE EL FAMOSO RECITAL DE LOS BEATLES EN LA TERRAZA DE APPLE CORPS?	1969
¿EN QUÉ CIUDAD ARGENTINA NACIÓ ASTOR PIAZZOLLA?	MAR DEL PLATA
¿EN QUÉ PAÍS NACIÓ EL CANTANTE JUAN LUIS GUERRA?	REPÚBLICA DOMINICANA
EN EL MUNDIAL DE RUSIA LIONEL MESSI MARCÓ UN SÓLO GOL, ¿A QUÉ SELECCIÓN SE LO HIZO?	NIGERIA
¿DE QUÉ PAÍS ES ORIGINARIO EL TRAGO CONOCIDO MUNDIALMENTE COMO MOJITO?	CUBA
¿QUIÉN COMPUSO, JUNTO A CARLOS GARDEL, EL CÉLEBRE TANGO MI BUENOS AIRES QUERIDO?	ALFREDO LEPERA
¿CÓMO SE LLAMA LA TÍPICA SALSA QUE ENTRE SUS INGREDIENTES INCLUYE TOMATE, CEBOLLA Y CARNE PICADA?	BOLOGNESA
¿CUÁL DE ESTOS PERSONAJES DEL ESPECTÁCULO ARGENTINO INTERPRETÓ A SASO EN LA PELÍCULA CARLITOSWAY, PROTAGONIZADA POR AL PACINO?	JORGE PORCEL
¿EN QUÉ PROVINCIA SE ENCUENTRA LA CIUDAD DE PEHUAJÓ, DONDE SEGÚN LA FAMOSA CANCIÓN, VIVÍA LA TORTUGA MANUELITA?	BUENOS AIRES
¿A QUÉ PARTIDO DE LA PROVINCIA DE BUENOS AIRES PERTENECE LA LOCALIDAD DE WILDE?	AVELLANEDA
¿CUÁL DE ESTAS NO ES UNA TÍPICA VARIEDAD DE VINO BLANCO?	TORRONTÉS
¿EN QUÉ PROVINCIA SUCEDIÓ EN 1924 LA MASACRE DE NAPALPÍ, DONDE MURIERON CIENTOS DE INDÍGENAS QUOM Y MOCOVÍES A MANOS DE POLICÍAS Y TERRATENIENTES?	CHACO
EN EL PROCESO DE LA DONACIÓN DE ÓRGANOS, ¿QUÉ SIGNIFICA LA PALABRA ABLACIÓN?	EXTRACCIÓN DE ÓRGANOS
¿EN QUE SAN MARTÍN REALIZÓ EL CRUCE DE LOS ANDES?	1817
¿QUÉ METAL SE MEZCLA CON EL COBRE PARA FORMAR EL BRONCE?	ESTAÑO
¿QUÉ PAÍS LE VENDIÓ EL TERRITORIO DE ALASKA A ESTADOS UNIDOS?	RUSIA
¿EN QUÉ PAÍS NACIÓ EL FAMOSO ACTOR BRUCE WILLIS?	ALEMANIA
¿EN QUÉ CONTINENTE PREDOMINA EL PUMA?	AMÉRICA
¿CUÁL ES EL RÍO MÁS LARGO DE EUROPA?	EL VOLGA
¿QUE DOS PAÍSES FIRMARON EL TRATADO DE TORDESILLAS EN EL SIGLO XV?	ESPAÑA Y PORTUGAL
¿CUÁL ES EL NOMBRE DE PILA DE LA REINA DE ESPAÑA?	LETIZIA
¿CUÁNTAS PROVINCIAS ARGENTINAS LIMITAN CON CÓRDOBA?	7
¿DE QUÉ COLOR SON LOS GLÓBULOS QUE TAMBIÉN SE CONOCEN COMO LEUCOCITOS?	BLANCOS
¿CÓMO SE LLAMÓ LA REFORMA POLÍTICA IMPULSADA POR GORBACHOV EN LA UNIÓN SOVIÉTICA?	PERESTROIKA
¿QUÉ ANIMAL PROTAGONIZA EL LIBRO PLATERO Y YO?	BURRO
¿QUÉ ANIMAL DISTINTIVO ESTÁ ESTAMPADO EN LA CAMISETA DE LOS PUMAS?	YAGUARETÉ
¿CUÁL ES EL NOMBRE DEL DINOSAURIO DE LA SAGA DE LA PELÍCULA TOYSTORY?	REX
¿EN QUÉ AÑO SE COMENZARON A ENTREGAR LOS PREMIOS OSCAR?	1929
SEGÚN LA ODISEA, ¿CUÁL ES EL NOMBRE DE LA MUJER QUE ESPERABA A ULISES?	PENÉLOPE
¿CUÁL ES EL NOMBRE COMPLETO DEL CID CAMPEADOR?	RODRIGO DÍAZ DE VIVAR
¿CON QUÉ NOMBRE SE CONOCE A LA CARNE SALADA Y SECA EN EL NORTE DE NUESTRO PAÍS?	CHARQUI
¿CUÁL ES EL AVE MÁS GRANDE QUE HABITA EL PLANETA TIERRA?	AVESTRUZ
¿CUÁL ES EL HUESO DONDE ARTICULAN TODAS LAS COSTILLAS DEL HOMBRE?	ESTERNÓN
¿CUÁNTAS PROVINCIAS ARGENTINAS LIMITAN CON CHILE?	11
¿EN QUÉ AÑO SE ENTREGÓ POR PRIMERA VEZ EL PREMIO MARTÍN FIERRO DE ORO, QUE EN ESA OPORTUNIDAD LO GANÓ EL PROGRAMA FAX?	1991
¿QUIÉN FUE EL AUTOR DEL CÓDIGO CIVIL ARGENTINO?	DALMACIO VÉLEZ SÁRSFIELD
¿CÓMO SE LLAMABA EL SACERDOTE QUE INTEGRABA LA PRIMERA JUNTA DE GOBIERNO?	MANUEL ALBERTI
¿QUÉ PAÍS ACTUALMENTE OCUPA CASI TODO EL TERRITORIO DE LO QUE FUE LA ANTIGUA PERSIA?	IRÁN
¿QUIÉN FUE EL PRINCIPAL ARTÍFICE DE LA REFORMA PROTESTANTE EN EL SIGLO XVI?	MARTÍN LUTERO
¿EN QUÉ CIUDAD DE EUROPA ESTÁ LA SEDE DE LA UNIÓN EUROPEA?	BRUSELAS
¿QUÉ CANTIDAD DE CENTÍMETROS EQUIVALEN A 2 METROS?	200
¿CUÁL FUE LA CAPITAL DE LA EX ALEMANIA OCCIDENTAL, ANTES DE LA CAÍDA DEL MURO DE BERLÍN?	BONN
¿EN QUÉ PROVINCIA ARGENTINA NACIÓ EL ARTISTA APODADO CHAQUEÑO PALAVECINO?	SALTA
¿EN QUÉ PROVINCIA ARGENTINA SE ENCUENTRA EL PARQUE NACIONAL EL PALMAR?	ENTRE RÍOS
SI ESTÁS MIRANDO HACIA EL NORTE, ¿CUÁL ES EL PUNTO CARDINAL QUE ESTÁ A TU DERECHA?	EL ESTE
¿CUÁL ES EL NOMBRE DEL RESIDUO QUE QUEDA LUEGO DE QUE LA UVA ES EXPRIMIDA PARA FABRICAR VINO?	ORUJO
¿QUÉ RECONOCIDA BAILARINA ARGENTINA SE PRESENTÓ EN LA GALA QUE SE REALIZÓ EN EL TEATRO COLÓN DURANTE LA CUMBRE DEL G20?	MORA GODOY
¿QUÉ NOMBRE HACE REFERENCIA A LA PLANTACIÓN DE LA YERBA MATE?	YERBAL
¿DE QUÉ OTRA MANERA SE SUELE LLAMAR A LA SALSA BECHAMEL?	SALSA BLANCA
¿EN QUÉ PAÍS SE ENCUENTRA EL TRIBUNAL INTERNACIONAL DE LA HAYA?	HOLANDA
¿QUIÉN ES EL AUTOR DE LA NOVELA EL CONDE DE MONTECRISTO?	ALEJANDRO DUMAS
¿CUÁL ES EL NOMBRE DE LA CRÍA DEL ÑANDÚ?	CHARITO
¿QUÉ PRINCIPADO EUROPEO SE ENCUENTRA ENTRE FRANCIA Y ESPAÑA?	ANDORRA
¿CON QUÉ NOMBRE SE CONOCE A LA ESQUINA DE LAS AVENIDAS SAN JUAN Y BOEDO?	HOMERO MANZI
¿EN QUÉ AÑO SE CREÓ EL ESTADO DE ISRAEL?	1948
¿EN QUÉ LOCALIDAD DE LA ZONA NORTE DE LA PROVINCIA DE BUENOS AIRES SE CELEBRA ANUALMENTE LA FIESTA DE LA FLOR?	ESCOBAR
¿QUIÉN ES EL AUTOR DE EL ALEPH?	JORGE LUIS BORGES
¿QUIÉN ES EL AUTOR DE EL TÚNEL?	ERNESTO SÁBATO
¿DE LA REVOLUCIÓN DE QUÉ PAÍS FORMÓ PARTE PANCHO VILLA?	MÉXICO
¿CUÁL ERA EL NOMBRE DE LA NOVIA Y MUSA INSPIRADORA DE SALVADOR DALÍ?	GALA
¿CÓMO SE LLAMÓ EL GRUPO MUSICAL INGLÉS, QUE FORMARON LOS HERMANOS GALLAGHER?	OASIS
¿DE QUÉ ESTADO DE LA ANTIGÜEDAD FUE REY ALEJANDRO MAGNO?	MACEDONIA
¿CUÁL ES EL NOMBRE DE PILA DE LA ANIMADORA INFANTIL BRASILERA CONOCIDA COMO XUXA?	MARÍA
¿CÓMO SE LLAMA EL HIJO DE MUFASA EN LA PELÍCULA ANIMADA EL REY LEÓN?	SIMBA
¿QUÉ NOMBRE RECIBE LA COSECHA DE LA CAÑA DE AZÚCAR?	ZAFRA
¿EN QUÉ PAÍS SE ENCUENTRAN LOS MONTES APENINOS?	ITALIA
¿QUÉ METAL SE EXTRAE DE UNA MINA AURÍFERA?	ORO
¿QUÉ FUTBOLISTA ARGENTINO LE CONVIRTIÓ EL PRIMER GOL A ALEMANIA FEDERAL, EN LA FINAL DEL MUNDIAL FIFA DE MÉXICO 1986?	JOSÉ LUIS BROWN
¿QUÉ PENÍNSULA SE ENCUENTRA DENTRO DEL MAR ROJO?	PENÍNSULA DEL SINAÍ
¿A QUÉ TIPO DE CALZADO EN PARAGUAY Y URUGUAY, SE LO CONOCE CON EL NOMBRE DE CHAMPIONES?	ZAPATILLAS
¿QUÉ CANTIDAD DE JUGADORES TITULARES TIENE UN EQUIPO DE PATO PROFESIONAL?	4
¿DE QUÉ PROVINCIA FUE CAUDILLO ESTANISLAO LÓPEZ A PRINCIPIOS DEL SIGLO XIX?	SANTA FE
¿CUÁNTOS SOBRINOS TIENE EL PATO DONALD?	3
ADEMÁS DE LA ESCALA DE RICHTER, ¿QUE OTRA MEDIDA SE USA PARA LOS TERREMOTOS?	MERCALÍ
¿EN QUÉ MAR DESEMBOCA EL RÍO DANUBIO?	MAR NEGRO
¿QUÉ SIGNIFICA LA PALABRA TABLAS EN UN PARTIDO DE AJEDREZ?	EMPATE
¿EN QUÉ FECHA SE CONMEMORA EL ANIVERSARIO DE LA MUERTE DEL GENERAL DON JOSÉ DE SAN MARTÍN?	17 DE AGOSTO
¿CÓMO SE LLAMÓ EL MOVIMIENTO CULTURAL QUE SE PRODUJO EN EUROPA ENTRE LOS SIGLOS XV Y XVI, ENTRE LOS QUE SE DESTACÓ LEONARDO DA VINCI?	RENACIMIENTO
¿CUÁL ES LA MONEDA OFICIAL DEL PERÚ?	SOL
¿EN QUÉ CIUDAD ARGENTINA SE REALIZARON LOS JUEGOS PANAMERICANOS DE 1995?	MAR DEL PLATA
¿QUÉ ACTRIZ INTERPRETÓ A LA MADRE DE RICARDO DARÍN EN LA PELÍCULA EL HIJO DE LA NOVIA?	NORMA ALEANDRO
¿EN QUÉ PROVINCIA ARGENTINA TRANSITA EL TREN A LAS NUBES?	SALTA
¿CÓMO SE LLAMA EL HIJO MÁS PEQUEÑO DE LIONEL MESSI Y ANTONELLAROCUZZO?	CIRO
¿CUÁNTOS HIJOS TUVO MARCELO TINELLI CON SU EX PAREJA PAULA ROBLES?	2
¿QUIÉN ES EL AUTOR DE LA POÉTICA, MÉTODO QUE DIVIDE A LAS OBRAS EN TRES PARTES: INTRODUCCIÓN, NUDO Y DESENLACE?	ARISTÓTELES
¿DE QUÉ OTRA MANERA SE PUEDE NOMBRAR A UNA GALERÍA O MUSEO DE PINTURAS?	PINACOTECA
¿QUIÉN ES EL REY QUE EMPUÑA LA ESPADA DE EXCALIBUR, Y LA PUEDE SACAR DE LA PIEDRA?	ARTURO
¿QUIÉN ES EL ACTUAL MINISTRO DE PRODUCCIÓN Y TRABAJO?	DANTE SICA
¿QUIÉN ES EL ACTUAL MINISTRO DE JUSTICIA?	GERMÁN GARAVANO
¿QUIÉN ES LA ACTUAL MINISTRA DE SALUD Y DESARROLLO SOCIAL?	CAROLINA STANLEY
¿QUIÉN ES EL ACTUAL MINISTRO DE EDUCACIÓN?	ALEJANDRO FINOCCHIARO
¿QUÉ CAUDILLO ARGENTINO DEL SIGLO XIX FUE CONOCIDO COMO EL TIGRE DE LOS LLANOS?	FACUNDO QUIROGA
¿CUÁL ES EL AÑO ACTUAL SEGÚN EL CALENDARIO JUDÍO?	5779
¿QUÉ TÍTULO UNIVERSITARIO POSEÍA MAHATMA GHANDI?	ABOGADO
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 24 DE ENERO?	ACUARIO
¿QUÉ INSTRUMENTO TOCA EL EX PRESIDENTE DE ESTADOS UNIDOS, BILL CLINTON?	SAXOFÓN
¿QUÉ CANTIDAD DE ÁTOMOS DE OXÍGENO TIENE UNA MOLÉCULA DE OZONO?	3
¿EN QUÉ CIUDAD EUROPEA PASÓ SUS ÚLTIMAS HORAS DE VIDA JORGE LUIS BORGES?	GINEBRA
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 25 DE FEBRERO?	PISCIS
¿QUÉ CANTIDAD DE CÉLULAS QUE TIENE UNA AMEBA?	1
¿CÓMO SE LLAMA EL ARROYO QUE, DURANTE LA MAYOR PARTE DE SU TRAYECTO, FLUYE ENTUBADO BAJO LA AVENIDA JUAN B. JUSTO, DE LA CIUDAD DE BUENOS AIRES?	ARROYO MALDONADO
¿DE QUÉ ANIMAL MARINO SE OBTIENE EL CAVIAR MÁS CARO CONSUMIDO EN EUROPA?	ESTURIÓN
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 22 DE MARZO?	ARIES
¿CON LA HIJA DE QUÉ FAMOSO CANTANTE ESTUVO CASADO MICHAEL JACKSON?	ELVIS PRESLEY
¿EN QUÉ CIUDAD ESTÁ AMBIENTADA LA OBRA LITERARIA ROMEO Y JULIETA, DE WILLIAM SHAKESPEARE?	VERONA
SEGÚN EL TÍTULO DEL LIBRO DE ROBERTO ARLT, ¿CUÁNTOS SON LOS LOCOS?	SIETE
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 28 DE ABRIL?	TAURO
¿CUÁL FUE EL PRIMER NOMBRE QUE SE LE ASIGNÓ AL TÚNEL SUBFLUVIAL QUE UNE LAS CIUDADES DE PARANÁ Y SANTA FÉ, QUE PASA POR DEBAJO DEL LECHO DEL RÍO PARANÁ?	HERNANDARIAS
¿CUÁLES SON LAS TRES PRIMERAS PALABRAS DEL PREÁMBULO DE LA CONSTITUCIÓN NACIONAL ARGENTINA?	NOS LOS REPRESENTANTES
¿QUÉ CANCIÓN CANTÓ DIEGO TORRES FRENTE AL PAPA JUAN PABLO II EN MADRID?	COLOR ESPERANZA
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 5 DE JUNIO?	GEMINIS
¿EN QUÉ AÑO DEL SIGLO XX FUE DEROGADA EN ESTADOS UNIDOS LA LLAMADA LEY SECA, CUYO PRINCIPAL OBJETIVO FUE LA PROHIBICIÓN DE BEBIDAS ALCOHÓLICAS?	1933
¿EN QUÉ AÑO FUE PEKÍN SEDE DE LOS JUEGOS OLÍMPICOS?	2008
¿ENTRE QUÉ RÍOS SE ENCUENTRA LA MESOPOTAMIA ARGENTINA?	PARANÁ Y URUGUAY
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 9 DE JULIO?	CÁNCER
¿CÓMO MURIÓ MANUEL DORREGO?	FUSILADO
¿EN QUÉ ÓRGANO DEL CUERPO HUMANO SE ENCUENTRA LA FAMOSA CISURA DE ROLANDO?	CEREBRO
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 17 DE AGOSTO?	LEO
¿DE QUÉ PAÍS EUROPEO ES ORIGINARIA LA FRASE DEJA VÚ?	FRANCIA
¿QUÉ CANCIÓN CANTÓ LUCIANO PEREYRA FRENTE AL PAPA JUAN PABLO II EN EL AÑO 2000?	SOLO LE PIDO A DIOS
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 11 DE SEPTIEMBRE?	VIRGO
¿QUÉ VOLCÁN SEPULTÓ A LA CIUDAD DE POMPEYA EN EL AÑO 79 ANTES DE CRISTO?	VESUBIO
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 26 DE SEPTIEMBRE?	LIBRA
¿QUÉ ACTOR INTERPRETÓ A HANNIBALLECTER EN LA PELÍCULA EL SILENCIO DE LOS INOCENTES?	ANTHONY HOPKINS
¿CÓMO SE LLAMA AL CONJUNTO DE LEYES, EN EL QUE UNA DE ELLAS VERSA: SI ALGO PUEDE SALIR MAL, SALDRÁ MAL?	LEYES DE MURPHY
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 11 DE NOVIEMBRE?	ESCORPIO
¿CÓMO SE LLAMA LA NOVELA RUSA ESCRITA POR LEÓN TOLSTOI EN LA QUE APARECEN MÁS DE 500 PERSONAJES Y TIENE LUGAR LA GUERRA NAPOLEÓNICA?	LA GUERRA Y LA PAZ
¿A QUÉ MITOLOGÍA PERTENECEN LA PAREJA DE DIOSES ISIS Y OSIRIS?	EGIPCIA
¿CÓMO SE LE LLAMA AL MONOLITO PERMANENTE QUE SE ENCUENTRA AL COSTADO DE LAS RUTAS, PARA FIJAR EL KILOMETRAJE DE LA MISMA?	MOJÓN
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 30 DE NOVIEMBRE?	SAGITARIO
¿QUÉ FAMOSO MATEMÁTICO GRIEGO ENUNCIÓ EL TEOREMA QUE DICE QUE EL CUADRADO DE LA HIPOTENUSA ES IGUAL A LA SUMA DE LOS CUADRADOS DE LOS LADOS?	PITÁGORAS
¿QUIENES SON LOS DOS AUTORES DE LA FAMOSA HISTORIETA ARGENTINA EL ETERNAUTA? UNO ERA EL GUIONISTA Y EL OTRO, EL DIBUJANTE.	HÉCTOR GERMÁN OESTERHELD Y FRANCISCO SOLANO LÓPEZ
¿EN QUÉ PROVINCIA SE ENCUENTRA EL CERRO BAYO?	NEUQUÉN
¿A QUÉ SIGNO DEL ZODIACO PERTENECEN LOS NACIDOS UN 24 DE DICIEMBRE?	CAPRICORNIO
¿EN QUÉ PROVINCIA SE ENCUENTRA EL CERRO CASTOR?	TIERRA DEL FUEGO
¿CÓMO SE LLAMA LA TÍPICA POLLERA QUE UTILIZAN LOS ESCOCESES?	KILT
¿CÓMO ERA LA FORMACIÓN FÍSICA DEL CENTAURO?	CABEZA DE HUMANO Y PATAS TRASERAS DE CABALLO
¿CÓMO SE LE DICE A LOS NACIDOS EN COSTA RICA?	TICOS
¿EN QUÉ AÑO SE COMENZARON A ENTREGAR LOS PREMIOS MARTIN FIERRO?	1959
EN BRASIL, ¿QUÉ ES UNA BORRACHARÍA?	UNA GOMERÍA
¿QUÉ LOBA AMAMANTÓ A RÓMULO Y REMO SEGÚN LA MITOLOGÍA DE LA FUNDACIÓN DE ROMA?	LUPERCA
¿A QUIÉN SE CONSIDERA COMO EL CONQUISTADOR QUE VENCIÓ AL IMPERIO INCA?	FRANCISCO PIZARRO
¿A QUIÉN SE CONSIDERA COMO EL CONQUISTADOR QUE VENCIÓ AL IMPERIO AZTECA?	HERNÁN CORTÉS
¿POR QUÉ PARTIDO POLÍTICO GANÓ LAS ELECCIONES A PRESIDENTE DE ESTADOS UNIDOS DONALD TRUMP?	REPUBLICANO
¿EN QUÉ CONTINENTE NACIÓ EL RECONOCIDO CANTANTE FREDDIE MERCURY?	ÁFRICA
¿HASTA QUE EDAD ES OBLIGATORIO VOTAR EN NUESTRO PAÍS?	70 AÑOS
¿CÓMO SE LLAMA EL HIJO QUE TIENE EL KUN AGÜERO CON GIANNINA MARADONA?	BENJAMÍN
¿CUÁL ES EL SEGUNDO NOMBRE DEL EX PRESIDENTE DE ESTADOS UNIDOS BARACK OBAMA?	HUSSEIN
¿CONTRA QUÉ EQUIPO AFRICANO PERDIÓ ARGENTINA EN EL PARTIDO INAUGURAL DEL MUNDIAL 90?	CAMERÚN
¿CÓMO SE LLAMA EL COMPUESTO QUE LE DA EL TÍPICO SABOR AMARGO AL AGUA TÓNICA?	QUININA
¿DE QUÉ PAÍS FUE DICTADOR SADAM HUSEIN?	IRAK
¿QUÉ PAÍS GOBERNÓ GADAFI?	LIBIA
¿EN QUÉ AÑO SE ANUNCIÓ LA MUERTE DE OSAMA BIN LADEN?	2011
¿QUE SELECCIÓN DE FÚTBOL DIRIGE ACTUALMENTE GERARDO EL TATA MARTINO?	MÉXICO
¿DE QUÉ PROVINCIA FUE CAUDILLO ANTONINO TABOADA?	SANTIAGO DEL ESTERO
¿DE QUÉ PROVINCIA FUE GOBERNADOR JOSÉ MARÍA PAZ?	CÓRDOBA
¿EN QUÉ AÑO SE FUNDÓ EN NUESTRO PAÍS EL PARTIDO UNITARIO?	1816
¿QUIÉN FUE EL FUNDADOR DE LA UNIÓN CÍVICA RADICAL?	LEANDRO N. ALEM
¿EN QUÉ PAÍS MURIÓ BERNARDINO RIVADAVIA?	ESPAÑA
ADEMÁS DE RIVER Y SAN LORENZO, ¿QUE OTRO EQUIPO ARGENTINO DIRIGIÓ RAMÓN DÍAZ?	INDEPENDIENTE
¿AL SERVICIO DE QUIÉN ESTUVO LA ORGANIZACIÓN POLICIAL LLAMADA LA MAZORCA?	JUAN MANUEL DE ROSAS
¿EN QUÉ AÑO SE FUNDÓ EN NUESTRO PAÍS EL PARTIDO FEDERAL?	1816
¿A QUÉ ENFERMEDAD ANIMAL SE LA CONOCE TAMBIÉN COMO HIDROFOBIA?	A LA RABIA
¿QUÉ ARQUITECTO DISEÑÓ EL PUENTE DE LA MUJER DE PUERTO MADERO?	CALATRAVA
¿QUÉ CAPACIDAD APROXIMADA TIENE EL TEATRO COLÓN DE LA CIUDAD DE BUENOS AIRES?	2.400 ESPECTADORES
¿EN QUÉ SIGLO VIVIÓ EL DESTACADO MÚSICO WOLFGANG AMADEUS MOZART?	SIGLO XVIII
¿CÓMO SE LLAMA LA NOVIA DE POPEYE EN EL FAMOSO DIBUJO ANIMADO?	OLIVIA
¿EN QUÉ AÑO GANÓ ADOLFO PÉREZ ESQUIVEL EL PREMIO NOBEL DE LA PAZ?	1980
¿QUÉ PREMIO NOBEL GANÓ EL ARGENTINO CÉSAR MILSTEIN?	MEDICINA
¿CUÁL ES EL PESO PROMEDIO DEL CEREBRO DE UN SER HUMANO ADULTO?	ENTRE 1.300 Y 1.500 GRAMOS
¿EN QUÉ PAÍS NACE EL RÍO PARANÁ?	BRASIL
¿QUÉ EXPLORADOR EUROPEO ENCONTRÓ LAS CATARATAS DEL IGUAZÚ?	NÚÑEZ CABEZA DE VACA
¿DE QUÉ PROVINCIA FUE GOBERNADOR DOS VECES JUAN RAMÓN BALCARCE?	BUENOS AIRES
¿EN QUÉ AÑO FUE FUNDADA LA LOGIA LAUTARO?	1812
¿CUÁNTOS METROS TIENE APROXIMADAMENTE EL MONTE EVEREST?	MENOS DE 9 MIL METROS
¿CUÁL FUE EL NOMBRE DEL ÚLTIMO ZAR DE RUSIA?	NICOLÁS II
¿A QUÉ CASA PERTENECE LA REINA ISABEL II DEL REINO UNIDO?	WINDSOR
¿QUÉ PAÍS TIENE LA SOBERANÍA SOBRE LAS ISLAS GALÁPAGOS, FAMOSAS POR SU DIVERSIDAD EN FLORA Y FAUNA?	ECUADOR
¿QUIÉN COMANDÓ AL EJÉRCITO VENCEDOR EN LA LLAMADA BATALLA DE PAVÓN DE 1861?	BARTOLOMÉ MITRE
¿QUÉ GRUPO RESULTÓ VENCEDOR EN LA LLAMADA BATALLA DE CEPEDA DE 1820?	FEDERALES
¿EN QUÉ FRONTERA SE ENCUENTRA EL MONTE EVEREST?	CHINA Y NEPAL
¿QUÉ OCÉANO SE ENCUENTRA EN LA COSTA ESTE DE LOS ESTADOS UNIDOS?	ATLÁNTICO
¿EL NOMBRE DE QUÉ EX MINISTRO LLEVA EL AEROPUERTO INTERNACIONAL DE EZEIZA?	JUAN PISTARINI
¿CUÁNTAS ARISTAS TIENE UN CUBO?	12
¿CUÁL ES LA CAPITAL DE ESCOCIA?	EDIMBURGO
¿CÓMO SE CONOCE AL REY DEL CARNAVAL?	REY MOMO
¿CUÁL ES LA ÚLTIMA PELÍCULA QUE SE ESTRENÓ CON RICARDO DARÍN COMO PROTAGONISTA?	EL AMOR MENOS PENSADO
¿QUIÉNES COMPITEN EN UNA REGATA?	EMBARCACIONES
¿CÓMO SE LLAMA LA PLANTA DE LA QUE SE OBTIENE EL CAFE?	CAFETO
¿QUÉ OCÉANO SE ENCUENTRA EN LA COSTA OESTE DE LOS ESTADOS UNIDOS?	PACÍFICO
¿COMO SE LLAMA EL TRÓPICO QUE SE ENCUENTRA EN EL HEMISFERIO NORTE?	TRÓPICO DE CÁNCER
¿COMO SE LLAMA EL TRÓPICO QUE SE ENCUENTRA EN EL HEMISFERIO SUR?	TRÓPICO DE CAPRICORNIO
¿CÓMO SE LLAMA LA ISLA DONDE SE ENCUENTRA LA ESTATUA DE LA LIBERTAD?	ISLA DE LA LIBERTAD
¿EN QUÉ AÑO COMENZÓ A CIRCULAR DE MANERA OFICIAL LA MONEDA LLAMADA EURO?	2002
¿QUÉ TIPO DE ANIMAL MARINO ES UNA LANGOSTA?	UN CRUSTÁCEO
¿CUÁL ES EL COLOR CARACTERÍSTICO DE LA PIEDRA AMATISTA?	VIOLETA
¿CUÁNTOS DIENTES TIENE UNA PERSONA ADULTA?	32
¿CUÁNTAS NACIONES FORMAN PARTE DEL REINO UNIDO?	CUATRO
¿EN QUÉ PAÍS SE ENCUENTRA EL FAMOSO CAMPO DE GÉISERES LLAMADO EL TATIO?	CHILE
¿EN QUÉ PAÍS SE ENCUENTRA EL PARQUE NACIONAL YELLOWSTONE?	ESTADOS UNIDOS
¿CUÁL ES EL TÍTULO ALEMÁN QUE EQUIVALE AL EMPERADOR?	KAISER
¿QUÉ DÍA SE CELEBRA EL DÍA DE LOS ENAMORADOS?	14 DE FEBRERO
¿QUÉ ES LA VIRGULILLA?	UN SIGNO ORTOGRÁFICO
¿QUÉ LÓBULO CEREBRAL LE BRINDA AL HOMBRE LA CAPACIDAD DE RAZONAR?	LÓBULO FRONTAL
¿QUIÉN ERA EL EMPERADOR DE ALEMANIA AL INICIARSE LA PRIMERA GUERRA MUNDIAL?	GUILLERMO II
¿A QUIÉN SE LE ATRIBUYE EL CONCEPTO DE EL FIN JUSTIFICA LOS MEDIOS?	MAQUIAVELO
¿EN QUÉ AÑO FALLECIÓ MANUEL BELGRANO?	1820
¿CUÁNTOS HIJOS TUVO MANUEL BELGRANO?	2 HIJOS
¿DE QUÉ NACIONALIDAD ES LA PELÍCULA TROPA DE ÉLITE?	BRASILERA
